zOrig,zDest,FAF_O,FAF_D,netNodeO,netNodeD,FRA_O,FRA_D,fTons (K)
300,301,531,532,300,191,307557,304539,15071.206358
138,136,223,221,6300,5918,395671,390084,9733.112657
139,136,223,221,6546,5918,397786,390084,9479.506089
9,10,41,42,1613,1832,332280,335597,8249.372204
162,301,279,532,5654,191,386600,304539,6952.158178
303,300,539,531,1252,300,325529,307557,5847.584409
161,282,271,489,5230,3109,381938,353672,5348.333548
303,301,539,532,1252,191,325529,304539,4430.053179
319,282,560,489,2353,3109,341490,353672,4062.834635
299,301,531,532,237,191,305935,304539,3798.464805
268,274,483,486,3282,4351,356173,370166,3674.804964
250,294,429,512,13697,13694,479874,479838,3531.034576
91,20,171,61,7983,1012,414089,321736,3422.82849
5,4,19,12,8901,7596,422118,410839,3162.426854
319,277,560,488,2353,2982,341490,351899,3058.355808
137,274,222,486,5190,4351,381551,370166,2782.449122
161,279,271,489,5230,2693,381938,346798,2707.698646
266,277,482,488,4873,2982,377794,351899,2504.425722
267,277,482,488,4936,2982,378449,351899,2504.425722
91,195,171,350,7983,2073,414089,338763,2502.189571
248,294,429,512,13535,13694,477840,479838,2465.91658
249,294,429,512,13549,13694,478104,479838,2397.386633
319,168,560,292,2353,6163,341490,394071,2341.066441
192,301,341,532,14507,191,489881,304539,2243.052328
137,163,222,280,5190,6275,381551,395467,2220.352419
137,164,222,280,5190,6887,381551,402884,2220.352419
253,91,451,171,12364,7983,461299,414089,2218.19654
319,169,560,299,2353,5137,341490,380766,2193.052154
136,274,221,486,5918,4351,390084,370166,2099.947201
319,279,560,489,2353,2693,341490,346798,2056.889635
215,303,380,539,3491,1252,358711,325529,1984.492592
6,4,19,12,9020,7596,423914,410839,1978.67126
318,282,560,489,2216,3109,340080,353672,1850.547932
215,161,380,271,3491,5230,358711,381938,1831.26374
220,226,393,399,10452,10155,440877,437809,1813.983237
319,274,560,486,2353,4351,341490,370166,1779.430742
215,300,380,531,3491,300,358711,307557,1749.34388
305,240,540,422,11305,12321,448728,460849,1746.459919
309,215,551,380,7675,3491,411642,358711,1735.334909
319,309,560,551,2353,7675,341490,411642,1722.058258
215,301,380,532,3491,191,358711,304539,1704.811616
215,91,380,171,3491,7983,358711,414089,1666.955841
190,301,341,532,14400,191,488248,304539,1664.611115
319,17,560,50,2353,5577,341490,385939,1630.203341
91,301,171,532,7983,191,414089,304539,1629.802645
85,234,160,411,1367,184,327259,304311,1614.090566
183,155,321,261,1419,10506,328700,441355,1598.246291
134,257,219,459,9709,11787,432001,453864,1592.331979
274,276,486,487,4351,2897,370166,350299,1555.209744
183,154,321,261,1419,10449,328700,440834,1549.146957
91,282,171,489,7983,3109,414089,353672,1541.654458
282,274,489,486,3109,4351,353672,370166,1526.596179
113,282,190,489,5081,3109,379962,353672,1503.721483
231,270,409,484,3036,3703,352861,361928,1502.217575
303,299,539,531,1252,237,325529,305935,1473.793341
315,282,560,489,1925,3109,336667,353672,1471.868226
168,276,292,487,6163,2897,394071,350299,1396.301707
318,277,560,488,2216,2982,340080,351899,1393.025934
264,2,479,11,9408,8739,428302,419866,1371.149863
270,276,484,487,3703,2897,361928,350299,1353.217018
162,300,279,531,5654,300,386600,307557,1343.930095
191,301,341,532,14444,191,489091,304539,1328.248823
311,215,559,380,6842,3491,402197,358711,1325.463295
161,278,271,489,5230,2579,381938,345412,1323.461064
195,11,350,49,2073,1467,338763,329710,1309.741191
260,91,460,171,3711,7983,362062,414089,1300.999699
317,282,560,489,1986,3109,337589,353672,1289.504051
316,282,560,489,1986,3109,337589,353672,1289.504051
251,294,429,512,13896,13694,482137,479838,1283.484607
220,257,393,459,10452,11787,440877,453864,1283.449134
274,282,486,489,4351,3109,370166,353672,1275.38332
260,300,460,531,3711,300,362062,307557,1264.983084
231,229,409,401,3036,3353,352861,357127,1252.482789
319,311,560,559,2353,6842,341490,402197,1248.173848
319,157,560,262,2353,9293,341490,426819,1244.321162
126,268,209,483,4174,3282,367777,356173,1237.025829
177,272,311,485,4065,2097,366354,338965,1227.562047
298,294,519,512,13037,13694,471386,479838,1204.094519
319,113,560,190,2353,5081,341490,379962,1197.538207
195,12,350,49,2073,1591,338763,332121,1193.519481
181,177,319,311,3673,4065,361539,366354,1146.881807
215,47,380,101,3491,13959,358711,483026,1142.630976
134,264,219,479,9709,9408,432001,428302,1134.651067
189,301,341,532,14369,191,487996,304539,1133.948635
220,294,393,512,10452,13694,440877,479838,1129.216408
91,276,171,487,7983,2897,414089,350299,1110.778602
315,277,560,488,1925,2982,336667,351899,1107.96947
218,226,392,399,11504,10155,450746,437809,1103.709434
276,155,487,261,2897,10506,350299,441355,1091.897499
307,240,540,422,12425,12321,462506,460849,1088.42433
305,192,540,341,11305,14507,448728,489881,1079.554508
4,5,12,19,7596,8901,410839,422118,1078.727773
318,168,560,292,2216,6163,340080,394071,1066.313559
193,301,342,532,13991,191,483598,304539,1065.290296
276,154,487,261,2897,10449,350299,440834,1058.353582
319,118,560,201,2353,4476,341490,372451,1034.073455
5,134,19,219,8901,9709,422118,432001,1032.726113
300,303,531,539,300,1252,307557,325529,1013.12305
319,2,560,11,2353,8739,341490,419866,1006.691442
319,278,560,489,2353,2579,341490,345412,1005.36053
319,266,560,482,2353,4873,341490,377794,1000.671453
319,267,560,482,2353,4936,341490,378449,1000.671453
318,169,560,299,2216,5137,340080,380766,998.89572
8,4,19,12,9382,7596,428070,410839,995.540523
161,113,271,190,5230,5081,381938,379962,993.745081
92,163,172,280,6491,6275,397178,395467,992.79757
92,164,172,280,6491,6887,397178,402884,992.79757
177,282,311,489,4065,3109,366354,353672,980.651075
161,280,271,489,5230,2832,381938,349115,973.472152
40,287,89,499,2260,1503,340498,330452,972.076858
316,277,560,488,1986,2982,337589,351899,970.692277
317,277,560,488,1986,2982,337589,351899,970.692277
162,218,279,392,5654,11504,386600,450746,965.982157
214,303,380,539,2818,1252,348747,325529,965.555386
118,276,201,487,4476,2897,372451,350299,957.186706
319,161,560,271,2353,5230,341490,381938,950.068577
113,276,190,487,5081,2897,379962,350299,949.964859
120,268,202,483,3383,3282,357396,356173,949.88824
319,166,560,291,2353,4704,341490,375681,947.710133
319,165,560,291,2353,4689,341490,375289,947.710133
260,301,460,532,3711,191,362062,304539,947.349985
282,91,489,171,3109,7983,353672,414089,947.201269
20,274,61,486,1012,4351,321736,370166,943.034207
181,282,319,489,3673,3109,361539,353672,941.72241
318,279,560,489,2216,2693,340080,346798,936.876147
26,20,64,61,342,1012,308387,321736,931.648794
309,91,551,171,7675,7983,411642,414089,914.10867
226,218,399,392,10155,11504,437809,450746,910.94193
60,56,124,123,10921,11637,445695,452361,906.134478
268,270,483,484,3282,3703,356173,361928,896.895658
274,270,486,484,4351,3703,370166,361928,892.411112
214,161,380,271,2818,5230,348747,381938,891.001848
166,9,291,41,4704,1613,375681,332280,885.203027
165,9,291,41,4689,1613,375289,332280,885.203027
47,292,101,511,13959,13251,483026,474019,874.740987
215,136,380,221,3491,5918,358711,390084,874.371954
319,97,560,179,2353,6947,341490,403496,871.630348
319,15,560,50,2353,4870,341490,377775,861.913096
147,200,241,363,13629,14568,478861,490541,855.161617
270,274,484,486,3703,4351,361928,370166,852.630946
214,300,380,531,2818,300,348747,307557,851.143719
311,218,559,392,6842,11504,402197,450746,849.526426
319,230,560,402,2353,4008,341490,365635,849.063826
315,168,560,292,1925,6163,336667,394071,848.112615
309,214,551,380,7675,2818,411642,348747,844.32765
246,294,429,512,13184,13694,473214,479838,837.459187
136,127,221,211,5918,9685,390084,431751,833.198264
302,300,539,531,869,300,319146,307557,833.078688
134,60,219,124,9709,10921,432001,445695,832.523393
282,20,489,61,3109,1012,353672,321736,831.13277
305,147,540,241,11305,13629,448728,478861,830.926901
214,301,380,532,2818,191,348747,304539,829.476534
161,277,271,488,5230,2982,381938,351899,823.129981
232,270,409,484,3195,3703,354831,361928,819.961394
268,226,483,399,3282,10155,356173,437809,813.469273
214,91,380,171,2818,7983,348747,414089,811.057797
318,274,560,486,2216,4351,340080,370166,810.498623
218,136,392,221,11504,5918,450746,390084,804.645606
305,190,540,341,11305,14400,448728,488248,801.157606
315,169,560,299,1925,5137,336667,380766,794.490564
250,147,429,241,13697,13629,479874,478861,792.279229
318,309,560,551,2216,7675,340080,411642,784.366491
218,217,392,391,11504,9692,450746,431812,783.869776
91,279,171,489,7983,2693,414089,346798,780.492774
142,164,229,280,5681,6887,386981,402884,778.017795
142,163,229,280,5681,6275,386981,395467,778.017795
279,274,489,486,2693,4351,346798,370166,772.869225
287,26,499,64,1503,342,330452,308387,765.751063
113,279,190,489,5081,2693,379962,346798,761.288462
7,4,19,12,9379,7596,428054,410839,758.375744
319,134,560,219,2353,9709,341490,432001,752.270979
305,226,540,399,11305,10155,448728,437809,750.835408
315,279,560,489,1925,2693,336667,346798,745.162127
317,168,560,292,1986,6163,337589,394071,743.031635
316,168,560,292,1986,6163,337589,394071,743.031635
318,17,560,50,2216,5577,340080,385939,742.528232
303,20,539,61,1252,1012,325529,321736,739.943822
319,280,560,489,2353,2832,341490,349115,739.493216
319,181,560,319,2353,3673,341490,361539,738.221348
157,155,262,261,9293,10506,426819,441355,736.244852
162,282,279,489,5654,3109,386600,353672,735.626395
319,99,560,179,2353,7438,341490,409272,733.832847
226,105,399,183,10155,9470,437809,428994,730.731913
110,71,189,131,9034,9748,424141,432669,729.220059
274,20,486,61,4351,1012,370166,321736,727.981382
111,71,189,131,9173,9748,425481,432669,727.876618
169,276,299,487,5137,2897,380766,350299,720.235921
157,154,262,261,9293,10449,426819,440834,713.626854
199,200,362,363,12847,14568,468821,490541,708.622363
134,294,219,512,9709,13694,432001,479838,706.120394
316,169,560,299,1986,5137,337589,380766,696.053345
317,169,560,299,1986,5137,337589,380766,696.053345
216,303,380,539,3565,1252,359698,325529,694.90019
268,120,483,202,3282,3383,356173,357396,694.567867
247,294,429,512,13388,13694,475739,479838,693.430145
265,282,481,489,3221,3109,355232,353672,691.530208
319,96,560,179,2353,6723,341490,400579,690.618246
319,162,560,279,2353,5654,341490,386600,688.578833
305,100,540,181,11305,8648,448728,418964,688.19341
232,229,409,401,3195,3353,354831,357127,683.647662
215,103,380,182,3491,9073,358711,424523,683.306563
162,120,279,202,5654,3383,386600,357396,675.115117
4,6,12,19,7596,9020,410839,423914,674.939766
307,192,540,341,12425,14507,462506,489881,672.797228
147,298,241,519,13629,13037,478861,471386,672.59084
319,95,560,179,2353,6716,341490,400440,669.010945
261,274,471,486,6400,4351,396179,370166,665.317096
287,20,499,61,1503,1012,330452,321736,665.18879
161,138,271,223,5230,6300,381938,395671,659.690089
136,253,221,451,5918,12364,390084,461299,659.263279
317,279,560,489,1986,2693,337589,346798,652.836691
316,279,560,489,1986,2693,337589,346798,652.836691
113,155,190,261,5081,10506,379962,441355,649.005575
306,240,540,422,11539,12321,451117,460849,647.917951
274,155,486,261,4351,10506,370166,441355,647.356182
6,134,19,219,9020,9709,423914,432001,646.157389
274,279,486,489,4351,2693,370166,346798,645.687794
311,214,559,380,6842,2818,402197,348747,644.90451
315,274,560,486,1925,4351,336667,370166,644.645378
115,282,190,489,5760,3109,388180,353672,643.415801
161,139,271,223,5230,6546,381938,397786,642.501164
162,32,279,69,5654,865,386600,319096,641.293762
216,161,380,271,3565,5230,359698,381938,641.244783
305,191,540,341,11305,14444,448728,489091,639.27042
258,91,460,171,2483,7983,344021,414089,635.050343
302,301,539,532,869,191,319146,304539,631.129477
311,195,559,350,6842,2073,402197,338763,629.468923
