Region,year,E_Source,nLoco,LocoHr,nTndr,TndrHr,RTM (B)
CA,2025,diesel,58.38721153846154,62022.985305653616,0.0,0.0,5.3806117776641385
CA,2025,hydrogen,23.354884615384616,24809.194122261444,30.027708791208795,56706.729422311866,0.9065667964308401
CA,2025,catenary,0.0,0.0,0.0,0.0,0.9912763610439307
CA,2025,biodiesel,0.0,0.0,0.0,0.0,0.0
CA,2025,battery,35.03232692307692,37213.79118339217,45.04156318681319,85060.0941334678,0.3118825648610912
CEN,2025,hydrogen,26.89527507692308,28570.044825460856,34.57963938461539,65302.959601053386,1.532640479132084
CEN,2025,catenary,0.0,0.0,0.0,0.0,0.7261381922964325
CEN,2025,biodiesel,0.0,0.0,0.0,0.0,0.0
CEN,2025,diesel,67.2381876923077,71425.11206365215,0.0,0.0,5.97868783290376
CEN,2025,battery,40.34291261538462,42855.06723819129,51.869459076923086,97954.43940158011,0.5034978956677238
MID_AT,2025,battery,11.432386615384615,12144.281742029472,14.698782791208792,27758.358267495936,0.14934195325854843
MID_AT,2025,hydrogen,7.621591076923077,8096.187828019648,9.799188527472529,18505.572178330625,0.454392004453197
MID_AT,2025,biodiesel,0.0,0.0,0.0,0.0,0.0
MID_AT,2025,catenary,0.0,0.0,0.0,0.0,0.1919432875049464
MID_AT,2025,diesel,19.053977692307694,20240.46957004912,0.0,0.0,1.6813398547833083
NE,2025,battery,1.831266923076923,1945.2999803888606,2.3544860439560438,4446.399955174539,0.024329745524902628
NE,2025,biodiesel,0.0,0.0,0.0,0.0,0.0
NE,2025,catenary,0.0,0.0,0.0,0.0,0.025624582105290596
NE,2025,diesel,3.0521115384615385,3242.1666339814346,0.0,0.0,0.27135713697942293
NE,2025,hydrogen,1.2208446153846153,1296.8666535925736,1.5696573626373627,2964.2666367830266,0.07546303539038378
NW,2025,catenary,0.0,0.0,0.0,0.0,0.0966749510438036
NW,2025,battery,6.327998769230771,6722.043480697036,8.13599841758242,15364.670813021794,0.08348268203006343
NW,2025,hydrogen,4.218665846153848,4481.362320464691,5.423998945054948,10243.113875347866,0.26526416705666395
NW,2025,diesel,10.546664615384618,11203.405801161727,0.0,0.0,0.9256445998694693
NW,2025,biodiesel,0.0,0.0,0.0,0.0,0.0
N_CEN,2025,hydrogen,19.265864000000004,20465.550045759326,24.770396571428577,46778.40010459275,0.9633819926754293
N_CEN,2025,battery,28.898796,30698.325068638984,37.15559485714286,70167.60015688911,0.3914770732424171
N_CEN,2025,diesel,48.164660000000005,51163.87511439831,0.0,0.0,4.500943374326337
N_CEN,2025,catenary,0.0,0.0,0.0,0.0,0.40560335975581757
N_CEN,2025,biodiesel,0.0,0.0,0.0,0.0,0.0
SE,2025,battery,101.41754030769229,107732.81419846471,130.3939803956044,246246.43245363366,1.3213870981838403
SE,2025,diesel,169.02923384615383,179554.69033077455,0.0,0.0,14.769148966375845
SE,2025,catenary,0.0,0.0,0.0,0.0,1.619830515033474
SE,2025,hydrogen,67.61169353846152,71821.87613230982,86.92932026373624,164164.2883024224,4.26343382040684
SE,2025,biodiesel,0.0,0.0,0.0,0.0,0.0
SW,2025,battery,64.88395384615386,68924.27999103493,83.4222263736264,157541.2114080798,0.8557455161242334
SW,2025,catenary,0.0,0.0,0.0,0.0,0.954686993766163
SW,2025,diesel,108.13992307692308,114873.79998505818,0.0,0.0,9.46736143995495
SW,2025,biodiesel,0.0,0.0,0.0,0.0,0.0
SW,2025,hydrogen,43.25596923076924,45949.51999402328,55.614817582417594,105027.4742720532,2.780396050154653
TX,2025,catenary,0.0,0.0,0.0,0.0,0.9283037142862718
TX,2025,diesel,83.66997153846154,88880.10368222483,0.0,0.0,7.373666517982866
TX,2025,biodiesel,0.0,0.0,0.0,0.0,0.0
TX,2025,hydrogen,33.46798861538462,35552.04147288994,43.030271076923086,81261.80908089128,1.958225491208598
TX,2025,battery,50.20198292307691,53328.06220933489,64.54540661538461,121892.71362133688,0.6169005765222644
