energy_system_scenario,freight_demand_scenario,year,region,technology,number_of_charging_stations,operational_refueling_energy_use (GJ),energy_refueled_to_tenders&locomotives (GJ)
Reference/business as usual,Population Shift,2025,CA,Die,0,0.0,0.0
Reference/business as usual,Population Shift,2025,CA,BioDie,0,0.0,0.0
Reference/business as usual,Population Shift,2025,CA,Hyd,69,5467.754305046661,5467.754305046661
Reference/business as usual,Population Shift,2025,CA,Cat,0,0.0,0.0
Reference/business as usual,Population Shift,2025,CA,Bat,69,31958.651194323764,31958.651194323764
Reference/business as usual,Population Shift,2025,CEN,Die,0,0.0,0.0
Reference/business as usual,Population Shift,2025,CEN,BioDie,0,0.0,0.0
Reference/business as usual,Population Shift,2025,CEN,Hyd,88,9899.702906618693,9899.702906618693
Reference/business as usual,Population Shift,2025,CEN,Cat,0,0.0,0.0
Reference/business as usual,Population Shift,2025,CEN,Bat,88,55254.50488696604,55254.50488696604
Reference/business as usual,Population Shift,2025,MID_AT,Die,0,0.0,0.0
Reference/business as usual,Population Shift,2025,MID_AT,BioDie,0,0.0,0.0
Reference/business as usual,Population Shift,2025,MID_AT,Hyd,156,18752.78343412288,18752.78343412288
Reference/business as usual,Population Shift,2025,MID_AT,Cat,0,0.0,0.0
Reference/business as usual,Population Shift,2025,MID_AT,Bat,156,104714.07162691548,104714.07162691548
Reference/business as usual,Population Shift,2025,NE,Die,0,0.0,0.0
Reference/business as usual,Population Shift,2025,NE,BioDie,0,0.0,0.0
Reference/business as usual,Population Shift,2025,NE,Hyd,50,5167.939298470664,5167.939298470664
Reference/business as usual,Population Shift,2025,NE,Cat,0,0.0,0.0
Reference/business as usual,Population Shift,2025,NE,Bat,50,28307.978849187177,28307.978849187177
Reference/business as usual,Population Shift,2025,NW,Die,0,0.0,0.0
Reference/business as usual,Population Shift,2025,NW,BioDie,0,0.0,0.0
Reference/business as usual,Population Shift,2025,NW,Hyd,45,5488.386997813607,5488.386997813607
Reference/business as usual,Population Shift,2025,NW,Cat,0,0.0,0.0
Reference/business as usual,Population Shift,2025,NW,Bat,45,29346.12035485681,29346.12035485681
Reference/business as usual,Population Shift,2025,N_CEN,Die,0,0.0,0.0
Reference/business as usual,Population Shift,2025,N_CEN,BioDie,0,0.0,0.0
Reference/business as usual,Population Shift,2025,N_CEN,Hyd,147,9732.932089682625,9732.932089682625
Reference/business as usual,Population Shift,2025,N_CEN,Cat,0,0.0,0.0
Reference/business as usual,Population Shift,2025,N_CEN,Bat,147,67195.41860210775,67195.41860210775
Reference/business as usual,Population Shift,2025,SE,Die,0,0.0,0.0
Reference/business as usual,Population Shift,2025,SE,BioDie,0,0.0,0.0
Reference/business as usual,Population Shift,2025,SE,Hyd,117,14749.548343936005,14749.548343936005
Reference/business as usual,Population Shift,2025,SE,Cat,0,0.0,0.0
Reference/business as usual,Population Shift,2025,SE,Bat,117,77667.15911487433,77667.15911487433
Reference/business as usual,Population Shift,2025,SW,Die,0,0.0,0.0
Reference/business as usual,Population Shift,2025,SW,BioDie,0,0.0,0.0
Reference/business as usual,Population Shift,2025,SW,Hyd,24,2945.0267446849725,2945.0267446849725
Reference/business as usual,Population Shift,2025,SW,Cat,0,0.0,0.0
Reference/business as usual,Population Shift,2025,SW,Bat,24,15399.81042478602,15399.81042478602
Reference/business as usual,Population Shift,2025,TX,Die,0,0.0,0.0
Reference/business as usual,Population Shift,2025,TX,BioDie,0,0.0,0.0
Reference/business as usual,Population Shift,2025,TX,Hyd,77,8044.776409015751,8044.776409015751
Reference/business as usual,Population Shift,2025,TX,Cat,0,0.0,0.0
Reference/business as usual,Population Shift,2025,TX,Bat,77,43058.07567349224,43058.07567349224
