energy_system_scenario,freight_demand_scenario,year,region,technology,freight_ton_mile_travel
Reference/business as usual,Population Shift,2025,CA,Die,5380611777.664139
Reference/business as usual,Population Shift,2025,CEN,Die,5978687832.90376
Reference/business as usual,Population Shift,2025,MID_AT,Die,1681339854.7833083
Reference/business as usual,Population Shift,2025,NE,Die,271357136.9794229
Reference/business as usual,Population Shift,2025,NW,Die,925644599.8694693
Reference/business as usual,Population Shift,2025,N_CEN,Die,4500943374.326338
Reference/business as usual,Population Shift,2025,SE,Die,14769148966.375845
Reference/business as usual,Population Shift,2025,SW,Die,9467361439.954948
Reference/business as usual,Population Shift,2025,TX,Die,7373666517.982866
Reference/business as usual,Population Shift,2025,CA,BioDie,0.0
Reference/business as usual,Population Shift,2025,CEN,BioDie,0.0
Reference/business as usual,Population Shift,2025,MID_AT,BioDie,0.0
Reference/business as usual,Population Shift,2025,NE,BioDie,0.0
Reference/business as usual,Population Shift,2025,NW,BioDie,0.0
Reference/business as usual,Population Shift,2025,N_CEN,BioDie,0.0
Reference/business as usual,Population Shift,2025,SE,BioDie,0.0
Reference/business as usual,Population Shift,2025,SW,BioDie,0.0
Reference/business as usual,Population Shift,2025,TX,BioDie,0.0
Reference/business as usual,Population Shift,2025,CA,Hyd,906566796.4308401
Reference/business as usual,Population Shift,2025,CEN,Hyd,1532640479.132084
Reference/business as usual,Population Shift,2025,MID_AT,Hyd,454392004.453197
Reference/business as usual,Population Shift,2025,NE,Hyd,75463035.39038378
Reference/business as usual,Population Shift,2025,NW,Hyd,265264167.05666396
Reference/business as usual,Population Shift,2025,N_CEN,Hyd,963381992.6754293
Reference/business as usual,Population Shift,2025,SE,Hyd,4263433820.4068403
Reference/business as usual,Population Shift,2025,SW,Hyd,2780396050.154653
Reference/business as usual,Population Shift,2025,TX,Hyd,1958225491.208598
Reference/business as usual,Population Shift,2025,CA,Cat,991276361.0439306
Reference/business as usual,Population Shift,2025,CEN,Cat,726138192.2964325
Reference/business as usual,Population Shift,2025,MID_AT,Cat,191943287.5049464
Reference/business as usual,Population Shift,2025,NE,Cat,25624582.105290595
Reference/business as usual,Population Shift,2025,NW,Cat,96674951.04380359
Reference/business as usual,Population Shift,2025,N_CEN,Cat,405603359.7558176
Reference/business as usual,Population Shift,2025,SE,Cat,1619830515.033474
Reference/business as usual,Population Shift,2025,SW,Cat,954686993.766163
Reference/business as usual,Population Shift,2025,TX,Cat,928303714.2862718
Reference/business as usual,Population Shift,2025,CA,Bat,311882564.86109126
Reference/business as usual,Population Shift,2025,CEN,Bat,503497895.66772383
Reference/business as usual,Population Shift,2025,MID_AT,Bat,149341953.25854844
Reference/business as usual,Population Shift,2025,NE,Bat,24329745.524902627
Reference/business as usual,Population Shift,2025,NW,Bat,83482682.03006342
Reference/business as usual,Population Shift,2025,N_CEN,Bat,391477073.2424171
Reference/business as usual,Population Shift,2025,SE,Bat,1321387098.1838403
Reference/business as usual,Population Shift,2025,SW,Bat,855745516.1242335
Reference/business as usual,Population Shift,2025,TX,Bat,616900576.5222644
