,freight_demand_scenario,year,energy_system_scenario,region,technology,upstream_CO2_emission_factor,CO2_emission_factor_unit
1026,agricultual_production_shift,2025,net_zero_2050,california,electricity,0.1213693430178199,kg of CO2/kWh of electricity
1027,agricultual_production_shift,2025,net_zero_2050,california,hydrogen,6.042702766107368,kg_of_CO2/kg_of_H2
1028,agricultual_production_shift,2025,net_zero_2050,central,electricity,0.0994101680846696,kg of CO2/kWh of electricity
1029,agricultual_production_shift,2025,net_zero_2050,central,hydrogen,6.04150831389296,kg_of_CO2/kg_of_H2
1030,agricultual_production_shift,2025,net_zero_2050,middle_atlantic,electricity,0.1752642825190684,kg of CO2/kWh of electricity
1031,agricultual_production_shift,2025,net_zero_2050,middle_atlantic,hydrogen,6.041633166140107,kg_of_CO2/kg_of_H2
1032,agricultual_production_shift,2025,net_zero_2050,north_east,electricity,0.0992925218715017,kg of CO2/kWh of electricity
1033,agricultual_production_shift,2025,net_zero_2050,north_east,hydrogen,6.04345024136688,kg_of_CO2/kg_of_H2
1034,agricultual_production_shift,2025,net_zero_2050,north_west,electricity,0.0528480449085972,kg of CO2/kWh of electricity
1035,agricultual_production_shift,2025,net_zero_2050,north_west,hydrogen,6.038827904353061,kg_of_CO2/kg_of_H2
1036,agricultual_production_shift,2025,net_zero_2050,north_central,electricity,0.201218187485353,kg of CO2/kWh of electricity
1037,agricultual_production_shift,2025,net_zero_2050,north_central,hydrogen,6.041754792520558,kg_of_CO2/kg_of_H2
1038,agricultual_production_shift,2025,net_zero_2050,south_east,electricity,0.2151175610860699,kg of CO2/kWh of electricity
1039,agricultual_production_shift,2025,net_zero_2050,south_east,hydrogen,6.0414427866130085,kg_of_CO2/kg_of_H2
1040,agricultual_production_shift,2025,net_zero_2050,south_west,electricity,0.1555963209499019,kg of CO2/kWh of electricity
1041,agricultual_production_shift,2025,net_zero_2050,south_west,hydrogen,6.041716522662054,kg_of_CO2/kg_of_H2
1042,agricultual_production_shift,2025,net_zero_2050,texas,electricity,0.0969660288630677,kg of CO2/kWh of electricity
1043,agricultual_production_shift,2025,net_zero_2050,texas,hydrogen,6.040872852208082,kg_of_CO2/kg_of_H2
1350,agricultual_production_shift,2025,50%_reduction_2050,california,electricity,0.1237701293842349,kg of CO2/kWh of electricity
1351,agricultual_production_shift,2025,50%_reduction_2050,california,hydrogen,6.047516198704104,kg_of_CO2/kg_of_H2
1352,agricultual_production_shift,2025,50%_reduction_2050,central,electricity,0.302854908633219,kg of CO2/kWh of electricity
1353,agricultual_production_shift,2025,50%_reduction_2050,central,hydrogen,6.048181001105189,kg_of_CO2/kg_of_H2
1354,agricultual_production_shift,2025,50%_reduction_2050,middle_atlantic,electricity,0.173453264294861,kg of CO2/kWh of electricity
1355,agricultual_production_shift,2025,50%_reduction_2050,middle_atlantic,hydrogen,6.047440048504929,kg_of_CO2/kg_of_H2
1356,agricultual_production_shift,2025,50%_reduction_2050,north_east,electricity,0.0985992300848143,kg of CO2/kWh of electricity
1357,agricultual_production_shift,2025,50%_reduction_2050,north_east,hydrogen,6.047590121579558,kg_of_CO2/kg_of_H2
1358,agricultual_production_shift,2025,50%_reduction_2050,north_west,electricity,0.106603314945559,kg of CO2/kWh of electricity
1359,agricultual_production_shift,2025,50%_reduction_2050,north_west,hydrogen,6.048045733287756,kg_of_CO2/kg_of_H2
1360,agricultual_production_shift,2025,50%_reduction_2050,north_central,electricity,0.4159639576492183,kg of CO2/kWh of electricity
1361,agricultual_production_shift,2025,50%_reduction_2050,north_central,hydrogen,6.048076971584516,kg_of_CO2/kg_of_H2
1362,agricultual_production_shift,2025,50%_reduction_2050,south_east,electricity,0.3043888888261168,kg of CO2/kWh of electricity
1363,agricultual_production_shift,2025,50%_reduction_2050,south_east,hydrogen,6.048212766112033,kg_of_CO2/kg_of_H2
1364,agricultual_production_shift,2025,50%_reduction_2050,south_west,electricity,0.3521742418953062,kg of CO2/kWh of electricity
