,freight_demand_scenario,energy_system_scenario,region,year,energy_price,technology,energy_price_unit
631,agricultual_production_shift,50%_reduction_2050,california,2025,4.772920388254652,biodiesel,$/Gallon
632,agricultual_production_shift,50%_reduction_2050,california,2030,3.740360713514259,biodiesel,$/Gallon
633,agricultual_production_shift,50%_reduction_2050,california,2035,2.9303115012610093,biodiesel,$/Gallon
634,agricultual_production_shift,50%_reduction_2050,california,2040,2.296037528301648,biodiesel,$/Gallon
635,agricultual_production_shift,50%_reduction_2050,california,2045,1.7990149034361336,biodiesel,$/Gallon
636,agricultual_production_shift,50%_reduction_2050,california,2050,1.4095596251977167,biodiesel,$/Gallon
638,agricultual_production_shift,50%_reduction_2050,central,2025,6.544378166959326,biodiesel,$/Gallon
639,agricultual_production_shift,50%_reduction_2050,central,2030,4.7738559240854,biodiesel,$/Gallon
640,agricultual_production_shift,50%_reduction_2050,central,2035,4.064900876767099,biodiesel,$/Gallon
641,agricultual_production_shift,50%_reduction_2050,central,2040,3.2186700692262247,biodiesel,$/Gallon
642,agricultual_production_shift,50%_reduction_2050,central,2045,2.639085993361123,biodiesel,$/Gallon
643,agricultual_production_shift,50%_reduction_2050,central,2050,2.147778334786218,biodiesel,$/Gallon
645,agricultual_production_shift,50%_reduction_2050,middle_atlantic,2025,7.700463150390757,biodiesel,$/Gallon
646,agricultual_production_shift,50%_reduction_2050,middle_atlantic,2030,5.742970279277992,biodiesel,$/Gallon
647,agricultual_production_shift,50%_reduction_2050,middle_atlantic,2035,4.694229344694721,biodiesel,$/Gallon
648,agricultual_production_shift,50%_reduction_2050,middle_atlantic,2040,3.7254142487030135,biodiesel,$/Gallon
649,agricultual_production_shift,50%_reduction_2050,middle_atlantic,2045,3.2789776681129568,biodiesel,$/Gallon
650,agricultual_production_shift,50%_reduction_2050,middle_atlantic,2050,2.832653351089204,biodiesel,$/Gallon
652,agricultual_production_shift,50%_reduction_2050,north_east,2025,7.258484527823705,biodiesel,$/Gallon
653,agricultual_production_shift,50%_reduction_2050,north_east,2030,5.363275456735172,biodiesel,$/Gallon
654,agricultual_production_shift,50%_reduction_2050,north_east,2035,4.396734185071953,biodiesel,$/Gallon
655,agricultual_production_shift,50%_reduction_2050,north_east,2040,3.4923195669695377,biodiesel,$/Gallon
656,agricultual_production_shift,50%_reduction_2050,north_east,2045,3.0963474830408297,biodiesel,$/Gallon
657,agricultual_production_shift,50%_reduction_2050,north_east,2050,2.6865928243710946,biodiesel,$/Gallon
659,agricultual_production_shift,50%_reduction_2050,north_west,2025,4.7729186144474784,biodiesel,$/Gallon
660,agricultual_production_shift,50%_reduction_2050,north_west,2030,3.739670650374799,biodiesel,$/Gallon
661,agricultual_production_shift,50%_reduction_2050,north_west,2035,2.9301429639338745,biodiesel,$/Gallon
662,agricultual_production_shift,50%_reduction_2050,north_west,2040,2.295854048021277,biodiesel,$/Gallon
663,agricultual_production_shift,50%_reduction_2050,north_west,2045,1.798897160295105,biodiesel,$/Gallon
664,agricultual_production_shift,50%_reduction_2050,north_west,2050,1.4095072551029233,biodiesel,$/Gallon
666,agricultual_production_shift,50%_reduction_2050,north_central,2025,6.545141450154655,biodiesel,$/Gallon
667,agricultual_production_shift,50%_reduction_2050,north_central,2030,4.773852848612357,biodiesel,$/Gallon
668,agricultual_production_shift,50%_reduction_2050,north_central,2035,4.064901018764956,biodiesel,$/Gallon
669,agricultual_production_shift,50%_reduction_2050,north_central,2040,3.2186701356700778,biodiesel,$/Gallon
670,agricultual_production_shift,50%_reduction_2050,north_central,2045,2.639085988125609,biodiesel,$/Gallon
671,agricultual_production_shift,50%_reduction_2050,north_central,2050,2.1477783469359517,biodiesel,$/Gallon
673,agricultual_production_shift,50%_reduction_2050,south_east,2025,6.872421128513458,biodiesel,$/Gallon
674,agricultual_production_shift,50%_reduction_2050,south_east,2030,5.058059146221049,biodiesel,$/Gallon
675,agricultual_production_shift,50%_reduction_2050,south_east,2035,4.157370438738833,biodiesel,$/Gallon
676,agricultual_production_shift,50%_reduction_2050,south_east,2040,3.3046675495516307,biodiesel,$/Gallon
677,agricultual_production_shift,50%_reduction_2050,south_east,2045,2.9493059127176005,biodiesel,$/Gallon
678,agricultual_production_shift,50%_reduction_2050,south_east,2050,2.5713883087198752,biodiesel,$/Gallon
680,agricultual_production_shift,50%_reduction_2050,south_west,2025,4.772918882505446,biodiesel,$/Gallon
681,agricultual_production_shift,50%_reduction_2050,south_west,2030,3.7396707714760793,biodiesel,$/Gallon
682,agricultual_production_shift,50%_reduction_2050,south_west,2035,2.9301426458549096,biodiesel,$/Gallon
683,agricultual_production_shift,50%_reduction_2050,south_west,2040,2.295854135818972,biodiesel,$/Gallon
684,agricultual_production_shift,50%_reduction_2050,south_west,2045,1.7988970991190942,biodiesel,$/Gallon
685,agricultual_production_shift,50%_reduction_2050,south_west,2050,1.4095072251494605,biodiesel,$/Gallon
687,agricultual_production_shift,50%_reduction_2050,texas,2025,6.704405497519079,biodiesel,$/Gallon
688,agricultual_production_shift,50%_reduction_2050,texas,2030,4.920432472231943,biodiesel,$/Gallon
689,agricultual_production_shift,50%_reduction_2050,texas,2035,4.049325802005377,biodiesel,$/Gallon
690,agricultual_production_shift,50%_reduction_2050,texas,2040,3.219908295460945,biodiesel,$/Gallon
691,agricultual_production_shift,50%_reduction_2050,texas,2045,2.8828932708848454,biodiesel,$/Gallon
692,agricultual_production_shift,50%_reduction_2050,texas,2050,2.519357004047212,biodiesel,$/Gallon
1765,agricultual_production_shift,net_zero_2050,california,2025,4.7729467916785415,biodiesel,$/Gallon
1766,agricultual_production_shift,net_zero_2050,california,2030,3.740231126268221,biodiesel,$/Gallon
1767,agricultual_production_shift,net_zero_2050,california,2035,2.9303715975054883,biodiesel,$/Gallon
